Message,Category
"Congratulations! You've won a $500 Amazon gift card. Click here to claim now.",spam
"URGENT! Your bank account is temporarily suspended. Verify your identity immediately.",spam
"Get cheap medicines without prescription. Limited stock!",spam
"Win a brand new iPhone 15! Enter your details now.",spam
"You have been selected for a free vacation to Maldives. Claim your prize.",spam
"Your loan is approved! Contact us to receive funds instantly.",spam
"Act now! Your insurance renewal is pending. Pay here.",spam
"This is your last warning. Update your ATM pin or your card will be blocked.",spam
"Congratulations! You have won free recharge for 1 year.",spam
"Earn $1000 per day from home. No skills required.",spam
"Your free Netflix subscription is ready. Activate now.",spam
"Hello dear, I have a business proposal for you. Reply urgently.",spam
"Claim your free laptop by clicking the link below.",spam
"This is a confidential message. Open the attached file for details.",spam
"You have an unclaimed reward waiting. Click to verify.",spam
"Update your PAN card details to avoid penalties. Click here.",spam
"Your package is stuck at customs. Pay ₹50 to release it.",spam
"Limited time offer! Buy 1 get 5 absolutely free!",spam
"Win free Bitcoin worth $1000. Register today!",spam
"Your email password will expire soon. Update now.",spam
"Don't miss out on this amazing offer. Click to buy now.",spam
"Your KYC documentation has expired. Complete now.",spam
"Your Facebook account has been compromised. Reset password here.",spam
"Bill overdue! Pay now to avoid disconnection.",spam
"You have a pending refund. Provide your details to receive it.",spam
"Get free followers and likes on Instagram. Click here.",spam
"Your credit card limit is eligible for upgrade. Apply now.",spam
"Congratulations! You have been pre-approved for a loan.",spam
"Your SBI account will be blocked. Update account info urgently.",spam
"Final reminder! Your parcel is waiting for confirmation.",spam
"Hot singles in your area. Chat instantly.",spam
"You've been selected for a cash reward. Respond now.",spam
"Click here to download your income tax statement.",spam
"Urgent notification: Your digital wallet is at risk.",spam
"Exclusive offer: Buy now and get 80% discount.",spam
"Your mobile number has won ₹50,000 in a lucky draw.",spam
"Security alert: Your device is infected. Clean now.",spam
"Your Paytm account needs verification. Update details.",spam
"Free gift coupons available. Limited time!",spam
"Get a loan instantly without documents. Apply now.",spam
"Unlock your free credit score report today.",spam
"Your OTP for money transfer is 8899. Do not share.",spam
"You have received a secure message. Click link to view.",spam
"Lottery prize worth $10,000 is waiting! Claim now.",spam
"Verify your Aadhaar card now or account will be suspended.",spam
"Receive free cash rewards daily. Sign up today.",spam
"Renew your car insurance instantly by clicking here.",spam
"Win free Paytm cash. Play now!",spam
"Activate free 6-month recharge plan here.",spam
"Increase your height naturally with this secret formula!",spam
"Flat 90% discount on all products. Visit now.",spam
"Your electricity connection will be disconnected. Pay bill now.",spam
"Your OTP has been leaked. Click to recover your account.",spam
"Download movies for free. No registration required.",spam
"Your phone number is selected for a special prize.",spam
"Get free cash by installing this app.",spam
"Pay ₹10 and unlock unlimited internet access.",spam
"Your debit card is blocked. Update details to unblock.",spam
"Click here to receive Rs. 5000 cashback.",spam
"Your phone is hacked. Click to remove viruses.",spam
"Earn money quickly by completing surveys.",spam
"Your GST details are incomplete. Update now.",spam
"Get easy home loan approval in minutes.",spam
"Your driver’s license needs immediate verification.",spam
"Your WhatsApp will expire in 24 hours. Renew now.",spam
"Win amazing rewards by clicking this link.",spam
"Your UPID payment failed. Click here to retry.",spam
"Free earphones! Claim now.",spam
"Your KYC has failed. Update immediately.",spam
"Activate your free Disney+ subscription.",spam
"Download antivirus now to secure your system.",spam
"Confirm your email to avoid deactivation.",spam
"Congratulations, you’ve won ₹1 lakh daily prize.",spam
"Your loan application is approved. Click to proceed.",spam
"Special offer on luxury watches. 95% off!",spam
"Your number is selected for VIP rewards.",spam
"You are chosen for a government scheme. Apply now.",spam
"Free gold coin on signup. Limited stock!",spam
"Your bank account will be frozen. Update now.",spam
